"第3列组合","第2列组合","第1列组合"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-62|06-16-26|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-100|08-09-010|80-81-82|08-18-28|71-72-73|17-27-37|71-81-82|17-18-28|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-62|06-16-26|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-100|08-09-010|80-81-91|08-18-19|71-72-73|17-27-37|71-81-91|17-18-19|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-62|06-16-26|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-100|08-09-010|80-81-91|08-18-19|71-72-73|17-27-37|71-81-82|17-18-28|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-62|06-16-26|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-100|08-09-010|80-81-82|08-18-28|71-72-73|17-27-37|71-81-91|17-18-19|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-71|06-16-17|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-100|08-09-010|80-81-82|08-18-28|71-72-73|17-27-37|71-81-82|17-18-28|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-71|06-16-17|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-100|08-09-010|80-81-91|08-18-19|71-72-73|17-27-37|71-81-91|17-18-19|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-71|06-16-17|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-100|08-09-010|80-81-91|08-18-19|71-72-73|17-27-37|71-81-82|17-18-28|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-71|06-16-17|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-91|08-09-19|80-81-91|08-18-19|71-72-73|17-27-37|71-81-91|17-18-19|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-51|04-05-15|40-41-42|04-14-24|31-32-42|13-23-24|31-41-51|13-14-15|22-32-42|22-23-24","60-70-80|06-07-08|60-61-71|06-16-17|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-100|08-09-010|80-81-82|08-18-28|71-72-73|17-27-37|71-81-91|17-18-19|62-63-64|26-36-46|62-72-73|26-27-37|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
"40-50-60|04-05-06|40-41-42|04-14-24|31-32-33|13-23-33|31-41-42|13-14-24|22-32-42|22-23-24","60-70-80|06-07-08|60-61-71|06-16-17|51-61-62|15-16-26|51-52-62|15-25-26|42-43-53|24-34-35|42-52-62|24-25-26|33-43-44|33-34-44","80-90-100|08-09-010|80-81-82|08-18-28|71-72-73|17-27-37|71-81-82|17-18-28|62-63-73|26-36-37|62-72-73|26-27-37|53-54-55|35-45-55|53-63-64|35-36-46|44-54-55|44-45-55"
"40-50-60|04-05-06|40-41-42|04-14-24|31-32-33|13-23-33|31-41-42|13-14-24|22-32-42|22-23-24","60-70-80|06-07-08|60-61-71|06-16-17|51-61-62|15-16-26|51-52-62|15-25-26|42-43-53|24-34-35|42-52-62|24-25-26|33-43-44|33-34-44","80-90-91|08-09-19|80-81-82|08-18-28|71-72-73|17-27-37|71-81-82|17-18-28|62-63-73|26-36-37|62-72-73|26-27-37|53-54-55|35-45-55|53-63-64|35-36-46|44-54-55|44-45-55"
"40-50-60|04-05-06|40-41-42|04-14-24|31-32-42|13-23-24|31-41-42|13-14-24|22-32-42|22-23-24","60-70-71|06-07-17|60-61-71|06-16-17|51-61-71|15-16-17|51-52-53|15-25-35|42-43-44|24-34-44|42-52-53|24-25-35|33-43-53|33-34-35","80-90-91|08-09-19|80-81-91|08-18-19|71-72-73|17-27-37|71-81-82|17-18-28|62-63-64|26-36-46|62-72-82|26-27-28|53-54-55|35-45-55|53-63-73|35-36-37|44-54-55|44-45-55"
